遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,第二區, 
威力彩,110000001,2021/1/4,59910100,599101,230108932,07,14,20,31,34,38,03,
威力彩,110000002,2021/1/7,55080900,550809,248447926,04,09,12,20,32,35,03,
威力彩,110000003,2021/1/11,57991900,579919,269630270,06,14,15,18,19,33,05,
威力彩,110000004,2021/1/14,61306700,613067,292040754,01,20,21,29,30,36,05,
威力彩,110000005,2021/1/18,65070300,650703,315005818,02,03,17,18,20,31,08,
威力彩,110000006,2021/1/21,64046900,640469,335867312,05,07,16,28,32,38,04,
威力彩,110000007,2021/1/25,70413300,704133,360723926,04,11,13,22,29,31,01,
威力彩,110000008,2021/1/28,67817900,678179,382947870,01,09,19,30,34,36,08,
威力彩,110000009,2021/2/1,76358300,763583,411379434,01,13,17,34,36,38,02,
威力彩,110000010,2021/2/4,75913900,759139,437821678,07,08,09,14,22,29,02,
威力彩,110000011,2021/2/8,94357400,943574,472862947,03,06,07,11,32,37,07,
威力彩,110000012,2021/2/11,119941400,1199414,519328716,03,09,11,13,14,32,08,
威力彩,110000013,2021/2/15,212058200,2120582,610232725,02,12,13,16,22,32,07,
威力彩,110000014,2021/2/18,226473400,2264734,645145396,04,21,24,26,34,35,08,
威力彩,110000015,2021/2/22,227332700,2273327,723538680,07,13,14,17,21,27,06,
威力彩,110000016,2021/2/25,247056000,2470560,793716957,03,04,06,16,32,34,03,
威力彩,110000017,2021/3/1,281625300,2816253,897363172,05,09,10,21,32,38,07,
威力彩,110000018,2021/3/4,325942500,3259425,1018288346,02,11,18,30,31,32,06,
威力彩,110000019,2021/3/8,80966800,809668,244531740,03,09,19,23,25,31,01,
威力彩,110000020,2021/3/11,75755400,757554,269675609,07,17,21,27,30,31,05,
威力彩,110000021,2021/3/15,81211500,812115,298723133,03,07,14,19,26,33,02,
威力彩,110000022,2021/3/18,76487100,764871,322976537,02,14,17,18,19,28,04,
威力彩,110000023,2021/3/22,76319600,763196,349060516,07,14,27,31,33,36,02,
威力彩,110000024,2021/3/25,78928500,789285,377702790,04,05,12,17,29,32,07,
威力彩,110000025,2021/3/29,87173000,871730,407962939,02,11,18,23,26,37,02,
